horizon,target,feature,mean_ic,icir,t_nw,hit_rate,n_days
5,excess,ret_1,-0.007794039655893734,-0.7197785876882533,-2.8985682694940547,0.48912518124697923,4138
5,excess,ret_5,-0.012806941262138574,-1.1336174466763032,-2.6475269324587236,0.47435897435897434,4134
5,excess,ret_10,-0.005831349031498372,-0.5104655613666044,-1.147276019993858,0.48728505691450713,4129
5,excess,ret_21,-0.004952028339743946,-0.42494399726653354,-0.9386026456592714,0.49490043710539094,4118
5,excess,ret_63,-7.57273274780361e-05,-0.005889090701854953,-0.012801054100354889,0.5130029440628067,4076
5,excess,ret_126,0.00878090788611709,0.6305912562930533,1.3266208329331612,0.5429852977822078,4013
5,excess,ret_252,0.017007884842138547,1.133127041022872,2.28534325978049,0.5495240545407769,3887
5,excess,mom_12_1,0.018964677016078076,1.2797037479618916,2.576869567215114,0.5513249292513507,3887
5,excess,mom_6_1,0.00910945984790337,0.674453314695843,1.4054359217013594,0.5394966359332171,4013
5,excess,vol_10,0.011057682650807246,0.7799445743025307,1.620985973974063,0.5255139056831922,4135
5,excess,vol_21,0.011827460082503707,0.7760181322723022,1.5960315295148035,0.5263922518159806,4130
5,excess,vol_63,0.012944919332691901,0.7893894713093593,1.6124908163997795,0.535410075444147,4109
5,excess,vol_ratio,-9.123128974504069e-05,-0.012657795817623337,-0.027441798400980457,0.49501095156972497,4109
5,excess,parkinson_vol,0.014419751243396292,0.8918185701078414,1.8219787430456091,0.5381995133819951,4110
5,excess,downside_vol,0.005514452116858204,0.3580650226605949,0.7434757134978447,0.508565834557024,4086
5,excess,ret_skew,-0.0028493410851301846,-0.4146417300024573,-0.8647988707904837,0.4877099050863957,4109
5,excess,ret_kurt,0.00456896713041588,0.7295547188498043,1.5248536605824805,0.515210513506936,4109
5,excess,px_to_ma_10,-0.011604800566924516,-1.0257797303569798,-2.3377411144002678,0.48718568665377177,4136
5,excess,px_to_ma_21,-0.007662013317701965,-0.6618986137731392,-1.467169874742287,0.49019607843137253,4131
5,excess,px_to_ma_50,-0.003906097642899642,-0.31949261847650123,-0.7144127561915827,0.511175898931001,4116
5,excess,px_to_ma_200,0.007466582581350022,0.52000022074302,1.0911305651133365,0.5352635486265775,4041
5,excess,ma_cross,0.009052096406597956,0.625846126158309,1.3047487755458935,0.5394704281118535,4041
5,excess,dist_52w_high,0.0002750754988574812,0.018595640753747516,0.037775631246313765,0.5091889242832639,4081
5,excess,dist_52w_low,0.013943859208402425,1.1203391571135715,2.4252109541878353,0.5410438617985788,4081
5,excess,bollinger_z,-0.007396503459569608,-0.7096620153518811,-1.5622816831080863,0.4914064391188574,4131
5,excess,rsi_14,-0.0030292436438176472,-0.2650299902478569,-0.5758064922033547,0.5053320407174018,4126
5,excess,macd_norm,-0.003268125580526405,-0.2685084675093038,-0.5914854867811594,0.5042527339003645,4115
5,excess,macd_hist,-0.006641475262213286,-0.5877149231240174,-1.2363086267286238,0.4838081324567811,4107
5,excess,log_dollar_volume,-0.01303609244338552,-1.8410999115841076,-3.753099807599748,0.4454106280193237,4140
5,excess,dv_trend,-0.003712298240002925,-0.5606695523359614,-1.215668606417532,0.48150851581508514,4110
5,excess,volume_ratio,-0.0030647577597720924,-0.4948952317408566,-1.2744520599899398,0.49951338199513384,4110
5,excess,amihud_illiq,0.015357223131179994,1.6926970711438591,3.412146556946998,0.5397907033341446,4109
5,excess,beta_63,0.011192956093719885,0.6157617186399381,1.2550406595765915,0.5300559746897056,4109
5,excess,alpha_63,0.0037113498243315753,0.2963949932524541,0.6256578361969023,0.5198345096130446,4109
5,excess,idio_vol_63,0.00967397163574264,0.7412487972275483,1.5132705047206987,0.5258641823976464,4079
5,excess,corr_mkt_63,0.0009164647371558247,0.07578935917526432,0.1531573013918974,0.4886833779508396,4109
5,vol_scaled,ret_1,-0.006887138064858766,-0.7011434140238848,-2.7104141090131444,0.48746653687028474,4109
5,vol_scaled,ret_5,-0.010284412778304688,-1.0013253346697375,-2.2727796418836217,0.4755414942808469,4109
5,vol_scaled,ret_10,-0.004354525011937252,-0.4201713287690402,-0.9132016893130838,0.48941348259917256,4109
