,factor_composite,ridge,elasticnet,lightgbm
alpha_63,,0.01542301610722384,0.15252966673567034,0.03356336542230742
amihud_illiq,1.0,0.010632764660157466,0.1163340995850618,0.1480991702778138
beta_63,-1.0,0.009817097263098621,0.09115700070906056,0.030921296968286518
bollinger_z,,-0.0027295544944767693,-0.027125423008456825,0.001797193471090865
corr_mkt_63,,-0.006481616024527925,-0.07076403755469986,0.06381255165021049
dist_52w_high,,-0.0005756325280286725,-0.0026061060168619987,0.06267081284459387
dist_52w_low,,0.008467079339693567,0.09570696358890106,0.05439890691031729
downside_vol,,-0.00071163402566749,-0.00461358703266758,0.02088247066775872
dv_trend,,-0.001262780307925594,-0.014266854652146463,0.01027393340803487
idio_vol_63,,0.0022666782713043707,-0.009074691331738929,0.042332687090039595
log_dollar_volume,,0.00591628192718817,0.06264145858323455,0.01940307212113483
ma_cross,,0.005100630474260575,0.0338874998755126,0.02031843841740738
macd_hist,,0.00871898251569034,0.08660154004166919,0.01206198641458054
macd_norm,,-0.007702646272863045,-0.06971311702260787,0.02867552424031834
mom_12_1,1.0,-0.004470963218383743,-0.03798350170956242,0.028552022508061718
mom_6_1,,-0.008328996158419946,-0.06389134552389479,0.03627467783803104
parkinson_vol,,-0.0013246377440108484,-0.01039697127748355,0.09840757017451347
px_to_ma_10,,-0.0017334700829666786,-0.017946847258693655,0.0012560331254868483
px_to_ma_200,,-0.001816812193515176,0.007028000477864241,0.017474608352939076
px_to_ma_21,,-0.007997398826524218,-0.07977589722859706,0.0029709741463381824
px_to_ma_50,,0.000652327175027672,-0.011993212249602236,0.01396755057637456
ret_1,,0.0007319901746781675,0.006646821828377062,0.0
ret_10,,-0.001020744061532875,-0.008411357959910994,0.0006926594418665929
ret_126,,0.0073028012371550224,0.047120980061311955,0.0256010423132598
ret_21,-1.0,-0.0021342741992597405,-0.012481947448142681,0.01058380449816144
ret_252,,0.00039643504377576176,-0.01077257279508253,0.043157347674947694
ret_5,,-0.0009063097927351568,-0.009528093768454841,0.0006767608988388609
ret_63,,-0.01211437484981019,-0.11708892039223429,0.03159927522508036
ret_kurt,,0.0019583730722751154,0.02148478970091144,0.041683357137966365
ret_skew,,-0.00164835017799645,-0.017494822238954696,0.02164146009766153
rsi_14,,0.005799352540624112,0.05823543673150028,0.00621307716305507
vol_10,,-0.0012643526796122131,-0.007758317686984481,0.005755088424761432
vol_21,,-0.0013002945248825769,-0.015481787648159696,0.019092198516707726
vol_63,-1.0,-0.007975003613054659,-0.04973958068999055,0.034194837041695215
vol_ratio,,0.0022776716303521283,0.021451884106247612,0.006135652103903707
volume_ratio,,-0.002042615465219955,-0.021154490487402255,0.0048585928364547485
