fold,model,fit_seconds,rank_mean_ic,rank_std_ic,rank_icir,rank_t_stat,rank_t_stat_nw,rank_hit_rate,rank_n_obs,pearson_ic,oos_r2,rmse,q5_minus_q1,monotonicity
0,factor_composite,0.0,0.009007417113218499,0.2752039423641322,0.5195721855990998,0.11337994616673899,0.12780930817231567,0.5079365079365079,252,0.01515111560358868,-22.799641141648436,0.4570680760565769,-0.0072119220435509016,-0.7
0,ridge,0.4,0.10488690375701812,0.18586918833461025,8.958063429934162,1.9548097022804303,2.6526586531806617,0.7103174603174603,252,0.1366299271081854,0.02056769704593675,0.0927220225715766,0.034889229993345976,0.9999999999999999
0,elasticnet,16.8,0.1036005389805074,0.17965966730991462,9.154016567174704,1.9975701824741852,2.741841046447536,0.7063492063492064,252,0.13602948637041948,0.01945612766296345,0.0927746233152467,0.034664532208473584,0.9999999999999999
0,lightgbm,3.3,0.08754039254941559,0.11001351505581747,12.631726651468961,2.756468739921313,4.053233569263527,0.7619047619047619,252,0.14099141771561227,0.022678016397307932,0.09262207763782694,0.03075434630143851,0.9999999999999999
0,gru,103.3,0.09575573933566356,0.09886782885122396,15.374821668463577,3.3550611472467415,4.850388001219862,0.8253968253968254,252,0.12453403792990807,0.017458736896514893,0.09286906570196152,0.0331362721803065,0.9999999999999999
1,factor_composite,0.0,0.05791874247253842,0.19542132189888176,4.704868046421943,1.0266863789289313,1.0369193154415537,0.5753968253968254,252,0.07393849410005764,-18.47635148471149,0.39056309160525376,0.019735089850933286,0.9999999999999999
1,ridge,0.3,-0.03237306240096651,0.15793731499852814,-3.253863304868687,-0.7100511855047585,-0.8398225970217518,0.4444444444444444,252,-0.027227240073727378,-0.03968899297357975,0.09023792934814144,-0.007147943070487992,-0.8999999999999998
1,elasticnet,12.0,-0.03237938759252446,0.1576647027216723,-3.260126294429542,-0.7114178818732984,-0.8284675999219016,0.4444444444444444,252,-0.027098298312957902,-0.03599728898866994,0.09007757948826248,-0.0070955843937541545,-0.7999999999999999
1,lightgbm,3.8,-0.030655316384111873,0.10397047687731971,-4.680540819875175,-1.0213777428766027,-1.4647253572376988,0.38492063492063494,252,-0.058179377596076776,-0.06110789194452293,0.09116269811524841,-0.007758783936780677,-0.8999999999999998
1,gru,82.0,-0.023862168287306453,0.1155618968857045,-3.277898584172245,-0.7152961134456136,-1.2387382404750849,0.373015873015873,252,-0.006227470321981976,-0.011931538581848145,0.08902519941329956,-0.0029670286818135865,-0.8999999999999998
2,factor_composite,0.0,0.006992741519125333,0.2604934424434961,0.4261386744007899,0.09299108247570287,0.13241409382418573,0.5555555555555556,252,-0.01493506680777519,-27.97236653854024,0.5186346810343926,-0.00901954333057138,-0.39999999999999997
2,ridge,0.3,0.004818706832906719,0.1458390147507355,0.5245139625739782,0.11445833031221377,0.13866214582315492,0.5277777777777778,252,0.03378943302583422,-0.0145378855360776,0.09705182441638299,0.006920243415894076,0.7999999999999999
2,elasticnet,15.7,0.002827728564128293,0.14386762864903246,0.31201459116817953,0.06808716580756584,0.08485989964268473,0.5198412698412699,252,0.031129853384407796,-0.011844389175133418,0.09692290736271075,0.007099508019715669,0.7999999999999999
2,lightgbm,1.3,-0.02627183219416232,0.09785334190468618,-4.26201495741323,-0.9300479121609578,-1.4634862982879044,0.36507936507936506,252,0.03225628537135809,0.0012880313102818786,0.09629188675629578,0.002403082890730983,-0.19999999999999998
2,gru,97.4,0.016028731184691655,0.16500990427499118,1.542017858852628,0.33649588386504276,0.5474306227938819,0.5357142857142857,252,0.03728205725889816,-0.004280567169189453,0.09655996412038803,0.011192647962143823,0.8999999999999998
3,factor_composite,0.0,-0.05217706100150114,0.16810873195247136,-4.927079966003729,-1.075176995205359,-1.6463035896582083,0.3055555555555556,252,-0.05809660038561411,-24.558465233145274,0.4203779799948535,-0.014945598683772378,-0.9999999999999999
3,ridge,0.4,-0.01406781966284267,0.12073451686626563,-1.849675798579478,-0.403632350386588,-0.5915431604544829,0.4246031746031746,252,0.052101112074038024,-0.003724033754223699,0.08330666235764121,0.004653562873777498,0.3
3,elasticnet,7.7,-0.017401125109223398,0.11880816984171645,-2.3250446311762647,-0.5073663341198055,-0.7052945742766215,0.4166666666666667,252,0.05299456176335495,-0.00223816477024541,0.08324497775799963,0.004242070690401129,0.3
3,lightgbm,2.6,-0.02002377404462381,0.10648884852326329,-2.984984465455149,-0.6513770124388341,-0.7530832339755138,0.4722222222222222,252,0.08101135760226419,0.010159380897950099,0.0827285112781316,0.0027295483852382875,0.0
3,gru,58.7,-0.032185852106358666,0.12254503728633577,-4.169361516084404,-0.9098292736710772,-1.5573692654950961,0.4007936507936508,252,-0.020722470343339256,-0.014528036117553711,0.08375381678342819,-0.006425751411335917,-0.09999999999999999
4,factor_composite,0.0,-0.03260585903903404,0.2427287360136196,-2.132429700356642,-0.4653343102883958,-0.4536005973251131,0.44841269841269843,252,-0.062011287795728134,-21.108982689373278,0.4342833501383376,-0.014934320546395534,-0.8999999999999998
4,ridge,0.3,0.0074669474651619045,0.12132207717319318,0.9770201684265755,0.21320327987206122,0.35511740615151904,0.44841269841269843,252,0.03461879093398292,-0.0003227411356365728,0.0923759399755226,0.009198363117147165,0.8999999999999998
4,elasticnet,11.3,0.012564192604814138,0.12103024366578162,1.6479383028485137,0.3596096196866845,0.5047345916486459,0.44841269841269843,252,0.041780554131214384,0.0017021117173673384,0.0922823989465649,0.00938381825047728,0.9999999999999999
4,lightgbm,1.8,0.00019980611816600776,0.14773146374011667,0.021470198116755927,0.004685181335987255,0.00764020537922486,0.4246031746031746,252,0.08357822088935121,0.009000883394706283,0.09194443179123928,0.007721974281703898,0.9999999999999999
4,gru,49.4,-0.020755132312396046,0.18952652534841707,-1.7384242683463362,-0.37935527617358616,-0.5502072041928369,0.40476190476190477,252,-0.022348245174211908,-0.008136630058288574,0.09273602813482285,-0.003068270780526572,-0.7
5,factor_composite,0.0,-0.06539708811661143,0.1836507879431663,-5.652829488906189,-1.2335485249329114,-1.683466787417874,0.36507936507936506,252,-0.09515301152546342,-16.859523789864646,0.4520414627759759,-0.026150641395751135,-0.8999999999999998
5,ridge,0.3,0.04436487420173593,0.12287250510472775,5.731717961691112,1.250763401027977,1.6527857457078574,0.5912698412698413,252,0.07562974340709745,0.005898686579615675,0.10664945933307571,0.019460287427647244,0.49999999999999994
5,elasticnet,13.6,0.0451405776888992,0.12662847950919356,5.658951749189112,1.2348845116553266,1.6586433445188513,0.6031746031746031,252,0.07936353266158425,0.006510665779809743,0.10661662701616963,0.02004295671175682,0.39999999999999997
5,lightgbm,2.1,0.06612245173764549,0.1650579215794547,6.359351736710217,1.3877243192534974,1.966276477740596,0.6468253968253969,252,0.09947197676299806,0.007262432934701524,0.106576281315541,0.02787280489317906,0.7
5,gru,49.4,0.008947542666429598,0.14210189995167505,0.9995491720475096,0.21811951151134049,0.3718665670673231,0.48412698412698413,252,-0.0020745487811453544,-0.006831765174865723,0.10733015835285187,0.0018316854595393436,0.09999999999999999
